gene name,1
ENST00000291775.3,ENSG00000160360.7
ENST00000376916.2,ENSG00000204653.4
ENST00000393892.2,ENSG00000173786.11
ENST00000346329.3,ENSG00000085733.11
ENST00000343484.5,ENSG00000171703.12
ENST00000402696.3,ENSG00000091513.10
ENST00000250498.4,ENSG00000129562.5
ENST00000393957.2,ENSG00000159713.6
ENST00000395633.1,ENSG00000099624.3
ENST00000268668.6,ENSG00000140990.10
ENST00000314471.5,ENSG00000179134.9
ENST00000355173.2,ENSG00000183092.11
ENST00000330634.7,ENSG00000203485.7
ENST00000294189.5,ENSG00000162244.5
ENST00000269346.4,ENSG00000141540.6
ENST00000424358.1,ENSG00000126005.10
ENST00000434585.1,ENSG00000090565.11
ENST00000383754.3,ENSG00000168314.12
ENST00000476216.1,ENSG00000130414.7
ENST00000455836.1,ENSG00000089248.6
ENST00000588932.1,ENSG00000132024.13
ENST00000536834.1,ENSG00000150991.9
ENST00000338761.4,ENSG00000189077.6
ENST00000538833.2,ENSG00000169718.13
ENST00000376917.3,ENSG00000204655.7
ENST00000375915.1,ENSG00000204442.1
ENST00000395384.4,ENSG00000103485.12
ENST00000524376.1,ENSG00000255248.2
ENST00000392213.2,ENSG00000105695.9
ENST00000470164.1,ENSG00000213995.6
ENST00000372458.3,ENSG00000066322.7
ENST00000361621.2,ENSG00000123560.9
ENST00000372710.3,ENSG00000244274.3
ENST00000310157.1,ENSG00000167755.8
ENST00000560366.1,ENSG00000120885.14
ENST00000261507.6,ENSG00000052802.8
ENST00000392910.2,ENSG00000159840.11
ENST00000250113.7,ENSG00000129245.7
ENST00000328568.4,ENSG00000135439.6
ENST00000302165.3,ENSG00000170604.3
ENST00000249014.4,ENSG00000128283.6
ENST00000469091.1,ENSG00000001497.12
ENST00000530028.2,ENSG00000255302.2
ENST00000575858.1,ENSG00000170310.7
ENST00000368010.3,ENSG00000143256.4
ENST00000300784.7,ENSG00000167363.9
ENST00000472413.1,ENSG00000183426.11
ENST00000355346.4,ENSG00000119185.8
ENST00000511455.2,ENSG00000172932.10
ENST00000394859.3,ENSG00000198720.8
ENST00000334681.5,ENSG00000187094.7
ENST00000423160.2,ENSG00000177098.4
ENST00000550550.1,ENSG00000196465.5
ENST00000509564.1,ENSG00000073578.11
ENST00000561504.1,ENSG00000151303.10
ENST00000225504.3,ENSG00000213246.2
ENST00000265678.4,ENSG00000071242.7
ENST00000371964.4,ENSG00000148291.5
ENST00000328965.3,ENSG00000184232.3
ENST00000390015.3,ENSG00000171298.8
ENST00000352456.2,ENSG00000105323.11
ENST00000417718.2,ENSG00000100362.8
ENST00000562348.1,ENSG00000167191.7
ENST00000326080.5,ENSG00000170271.6
ENST00000284262.2,ENSG00000154118.8
ENST00000334370.4,ENSG00000105429.7
ENST00000329251.4,ENSG00000254772.5
ENST00000507439.1,ENSG00000151552.7
ENST00000473125.1,ENSG00000175265.13
ENST00000409773.1,ENSG00000077380.11
ENST00000307845.3,ENSG00000115756.8
ENST00000222125.4,ENSG00000105519.7
ENST00000361795.3,ENSG00000101489.12
ENST00000524782.1,ENSG00000149182.9
ENST00000219207.5,ENSG00000102934.5
ENST00000488337.1,ENSG00000160584.11
ENST00000398121.4,ENSG00000185596.11
ENST00000361539.4,ENSG00000198797.6
ENST00000256720.2,ENSG00000134324.7
ENST00000590979.1,ENSG00000267548.1
ENST00000495695.1,ENSG00000130702.9
ENST00000433297.2,ENSG00000112972.10
ENST00000523292.1,ENSG00000151914.13
ENST00000219169.4,ENSG00000102898.5
ENST00000333119.3,ENSG00000126756.7
ENST00000373615.4,ENSG00000106689.6
ENST00000248089.3,ENSG00000103145.5
ENST00000397967.4,ENSG00000129538.9
ENST00000395574.3,ENSG00000149091.10
ENST00000399506.1,ENSG00000132535.13
ENST00000244458.2,ENSG00000124507.5
ENST00000422725.1,ENSG00000228594.1
ENST00000566724.1,ENSG00000167964.7
ENST00000464228.1,ENSG00000119185.8
ENST00000397856.3,ENSG00000165795.14
ENST00000378853.3,ENSG00000175756.9
ENST00000253794.2,ENSG00000131475.2
ENST00000318631.3,ENSG00000180834.3
ENST00000295225.5,ENSG00000115041.8
ENST00000369446.2,ENSG00000197932.3
ENST00000463154.1,ENSG00000173418.7
ENST00000397261.2,ENSG00000241553.5
ENST00000397770.3,ENSG00000076344.11
ENST00000003912.3,ENSG00000001461.11
ENST00000219281.3,ENSG00000103005.6
ENST00000290349.6,ENSG00000159228.8
ENST00000583458.1,ENSG00000167281.13
ENST00000308768.5,ENSG00000174943.5
ENST00000366835.3,ENSG00000196187.7
ENST00000372642.4,ENSG00000167136.6
ENST00000324096.3,ENSG00000130479.5
ENST00000419600.2,ENSG00000156298.8
ENST00000318240.3,ENSG00000177576.6
ENST00000397156.3,ENSG00000101363.8
ENST00000393693.2,ENSG00000074317.6
ENST00000367569.2,ENSG00000169976.5
ENST00000542074.1,ENSG00000167985.2
ENST00000262061.2,ENSG00000111481.5
ENST00000259241.6,ENSG00000136720.6
ENST00000480418.1,ENSG00000067840.7
ENST00000361005.5,ENSG00000010438.11
ENST00000393891.4,ENSG00000196531.6
ENST00000397666.2,ENSG00000130731.11
ENST00000393040.3,ENSG00000136717.10
ENST00000328848.4,ENSG00000182117.4
ENST00000301332.2,ENSG00000167702.6
ENST00000360981.4,ENSG00000244274.3
ENST00000495396.1,ENSG00000163531.11
ENST00000524958.1,ENSG00000162194.8
ENST00000252542.4,ENSG00000130254.7
ENST00000372813.3,ENSG00000025772.7
ENST00000522468.1,ENSG00000147421.12
ENST00000415831.1,ENSG00000167281.13
